SOC,Voltage,Current
100,4.1929,-0.0766
100,4.1929,-0.0919
99.997920997921,4.1929,-0.0945
99.997920997921,4.1929,-0.0919
99.997920997921,4.1929,-0.0919
99.997920997921,4.1929,-0.0919
99.995841995842,4.1929,-0.0945
99.995841995842,4.1929,-0.0919
99.995841995842,4.1927,-0.0919
99.995841995842,4.1927,-0.0919
99.993762993763,4.1927,-0.0919
99.993762993763,4.1927,-0.0919
99.993762993763,4.1927,-0.0919
99.993762993763,4.1927,-0.0919
99.991683991684,4.1927,-0.0919
99.991683991684,4.1927,-0.0919
99.991683991684,4.1927,-0.0919
99.991683991684,4.1927,-0.0919
99.989604989605,4.1927,-0.0919
99.989604989605,4.1927,-0.0945
99.989604989605,4.1927,-0.0919
99.989604989605,4.1927,-0.0919
99.987525987526,4.1927,-0.0919
99.987525987526,4.1927,-0.0919
99.987525987526,4.1927,-0.0919
99.985446985447,4.1927,-0.0919
99.985446985447,4.1927,-0.0919
99.985446985447,4.1927,-0.0945
99.985446985447,4.1927,-0.0919
99.983367983368,4.1927,-0.0919
99.983367983368,4.1926,-0.1379
99.983367983368,4.1921,-0.5236
99.97920997921,4.191,-1.1008
99.972972972973,4.1909,-0.945
99.966735966736,4.1904,-1.2643
99.95841995842,4.19,-1.2617
99.952182952183,4.1902,-0.9093
99.948024948025,4.1915,0.1328
99.950103950104,4.1919,-0.1609
99.948024948025,4.1924,0.2069
99.950103950104,4.1921,-0.1609
99.948024948025,4.1922,0.0051
99.948024948025,4.1921,-0.1609
99.948024948025,4.1919,-0.2145
99.943866943867,4.1904,-1.6116
99.9355509355509,4.1892,-1.7981
99.9251559251559,4.1885,-2.0126
99.9147609147609,4.1897,-0.3652
99.9126819126819,4.1915,0.281
99.9147609147609,4.1919,0.1175
99.9147609147609,4.1917,-0.0026
99.9147609147609,4.192,0.0358
99.9147609147609,4.1927,0.5108
99.9209979209979,4.1942,1.4916
99.9293139293139,4.1946,1.1545
99.9355509355509,4.1941,0.7509
99.9376299376299,4.1937,0.4316
99.9397089397089,4.1932,0.0715
99.941787941788,4.1926,-0.0817
99.9397089397089,4.1929,0.1098
99.941787941788,4.1926,-0.023
99.9397089397089,4.1924,-0.0843
99.9397089397089,4.1924,-0.0945
99.9397089397089,4.1922,-0.0945
99.9397089397089,4.1922,-0.0919
99.9376299376299,4.1922,-0.0945
99.9376299376299,4.1922,-0.0919
99.9376299376299,4.1922,-0.0945
99.9376299376299,4.1922,-0.0919
99.9355509355509,4.1922,-0.0919
99.9355509355509,4.1922,-0.0945
99.9355509355509,4.1921,-0.0945
99.9355509355509,4.1921,-0.1379
99.9334719334719,4.1917,-0.378
99.9313929313929,4.1904,-1.4916
99.9209979209979,4.1889,-1.9871
99.9085239085239,4.188,-2.2042
99.8960498960499,4.187,-2.6154
99.8794178794179,4.1867,-2.3498
99.8690228690229,4.1862,-2.5771
99.8544698544699,4.1877,-0.7483
99.8503118503119,4.1903,0.5032
99.8544698544699,4.1929,1.8287
99.8669438669439,4.1959,3.4915
99.8856548856549,4.1961,2.0663
99.8960498960499,4.1944,0.59
99.8981288981289,4.1912,-1.7061
99.8877338877339,4.1887,-2.1735
99.8752598752599,4.1873,-2.6665
99.8586278586279,4.1865,-2.6409
99.8419958419958,4.1857,-3.0036
99.8274428274428,4.1857,-2.434
99.8128898128898,4.1857,-2.3983
99.8004158004158,4.1868,-1.0063
99.7941787941788,4.187,-1.489
99.7858627858628,4.1873,-1.1723
99.7775467775468,4.1865,-2.1557
99.7671517671518,4.1873,-0.5415
99.7629937629938,4.187,-1.7776
99.7525987525988,4.1875,-0.5415
99.7505197505198,4.1883,-0.5364
99.7484407484407,4.1892,0.0332
99.7484407484407,4.1902,0.5159
99.7546777546777,4.1946,4.1453
99.7775467775468,4.1981,4.7328
99.8045738045738,4.1989,4.2526
99.8274428274428,4.1971,1.8568
99.8378378378379,4.1946,0.4929
99.8399168399168,4.1929,-0.0255
99.8399168399168,4.1922,-0.0792
99.8399168399168,4.1919,-0.0919
99.8399168399168,4.1917,-0.0945
99.8378378378379,4.1915,-0.0945
99.8378378378379,4.1914,-0.0919
99.8378378378379,4.1914,-0.0945
99.8378378378379,4.1912,-0.0945
99.8357588357588,4.1912,-0.0945
99.8357588357588,4.1912,-0.1022
99.8357588357588,4.191,-0.1354
99.8336798336798,4.191,-0.1686
99.8336798336798,4.1907,-0.3959
99.8295218295218,4.1894,-1.2949
99.8212058212058,4.1877,-2.3523
99.8087318087318,4.1863,-2.5924
99.7900207900208,4.1846,-3.4327
99.7713097713098,4.1826,-4.4901
99.7442827442827,4.1804,-5.3457
99.7130977130977,4.1784,-5.9076
99.6798336798337,4.1784,-4.8068
99.6528066528066,4.1806,-3.0036
99.6361746361746,4.183,-1.5325
99.6278586278586,4.1848,-0.8377
99.6237006237006,4.1865,0.0153
99.6257796257796,4.1895,1.8313
99.6361746361746,4.1922,2.7074
99.6548856548856,4.1954,4.5284
99.6798336798337,4.1971,4.3369
99.7068607068607,4.1968,3.4429
99.7255717255717,4.1966,3.0343
99.7401247401247,4.1952,1.5325
99.7484407484407,4.1939,1.0038
99.7546777546777,4.1925,0.3295
99.7546777546777,4.1919,0.1252
99.7567567567567,4.1912,-0.0026
99.7567567567567,4.1909,-0.0766
99.7546777546777,4.1907,-0.0919
99.7546777546777,4.1907,-0.0919
99.7546777546777,4.1905,-0.0945
99.7546777546777,4.1905,-0.0919
99.7525987525988,4.1904,-0.0919
99.7525987525988,4.1904,-0.0919
99.7525987525988,4.1904,-0.0919
99.7525987525988,4.1902,-0.1584
99.7505197505198,4.1889,-1.4686
99.7401247401247,4.1857,-3.4685
99.7172557172557,4.1838,-3.5834
99.6985446985447,4.1823,-4.061
99.6756756756757,4.1811,-4.25
99.6507276507277,4.1803,-4.3879
99.6216216216216,4.1799,-4.2755
99.5987525987526,4.1782,-5.3483
99.5675675675676,4.1781,-4.5003
99.5446985446985,4.1786,-4.0304
99.5218295218295,4.1794,-3.2386
99.5031185031185,4.1784,-4.3317
99.4781704781705,4.1813,-0.8863
99.4740124740125,4.1824,-1.4201
99.4656964656965,4.1821,-1.7521
99.4553014553015,4.1831,-1.0727
99.4490644490644,4.1838,-0.9169
99.4449064449065,4.1848,-0.2273
99.4428274428275,4.1846,-0.8863
99.4386694386694,4.185,-0.3601
99.4365904365904,4.1858,-0.069
99.4365904365904,4.1853,-0.6283
99.4345114345114,4.1875,2.0331
99.4469854469854,4.1898,1.9794
99.4573804573805,4.1903,1.8722
99.4698544698545,4.1924,3.5962
99.4906444906445,4.1959,5.1184
99.5176715176715,4.1924,-0.3116
99.5135135135135,4.1867,-2.1531
99.5010395010395,4.1843,-2.7661
99.4844074844075,4.1824,-3.236
99.4656964656965,4.1806,-3.9256
99.4428274428275,4.1806,-3.1492
99.4241164241164,4.1789,-4.5437
99.3991683991684,4.1799,-2.2297
99.3866943866944,4.1806,-2.4545
99.3721413721414,4.1803,-2.5618
99.3555093555094,4.1809,-1.9386
99.3471933471934,4.1823,-1.0497
99.3409563409563,4.1823,-1.4226
99.3326403326403,4.1816,-1.7547
99.3222453222453,4.1833,-0.0358
99.3222453222453,4.1826,-1.6934
99.3097713097713,4.1816,-1.8211
99.3014553014553,4.1813,-1.8466
99.2889812889813,4.1801,-2.6588
99.2744282744283,4.1801,-2.1276
